term,coef,se,t,p_value
intercept,12.983249451509375,1.0279289890975298,12.63049256243665,2.220446049250313e-16
mid tertile vs small,0.5631373664323757,1.3102695461514882,0.4297874189981883,0.6694478444607728
large tertile vs small,3.394649169138262,1.31504285720992,2.581398127465267,0.01324915835247098
Transition vs Reference,3.1717156583919093,1.3090984276474826,2.422824435051569,0.019584177380455703
Physical vs Reference,3.407580597651651,1.5935884702871392,2.1383065083532258,0.038082930550483285
Indirect vs Reference,2.611019837077968,1.5470372213210433,1.6877550204308405,0.0985356036427345
