term,coef,se,t,p_value
intercept,14.220865480550106,0.8795667369450764,16.16803465072158,0.0
log10_weight,4.298689058029282,1.3993762619818122,3.0718607817038652,0.0036036236740477623
Transition vs Reference,2.720593510501153,1.2519524524261918,2.173080539303903,0.03507793897721356
Physical vs Reference,3.338354124626093,1.5275559241077905,2.1854218702833723,0.03410357994919844
Indirect vs Reference,2.0005463464333126,1.5351645064120398,1.303147863357625,0.19915297879510496
